State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400,2600
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Arhar/Tur,6100,900
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Arhar/Tur,1600,300
Andhra Pradesh,GUNTUR,1997,Kharif     ,Arhar/Tur,28400,14900
Andhra Pradesh,GUNTUR,1997,Rabi       ,Arhar/Tur,1800,1000
Andhra Pradesh,KADAPA,1997,Kharif     ,Arhar/Tur,5700,1400
Andhra Pradesh,KRISHNA,1997,Kharif     ,Arhar/Tur,10700,3400
Andhra Pradesh,KURNOOL,1997,Kharif     ,Arhar/Tur,20900,6400
Andhra Pradesh,KURNOOL,1997,Rabi       ,Arhar/Tur,100,100
Andhra Pradesh,PRAKASAM,1997,Kharif     ,Arhar/Tur,34700,2200
Andhra Pradesh,SPSR NELLORE,1997,Kharif     ,Arhar/Tur,200,100
Andhra Pradesh,SPSR NELLORE,1997,Rabi       ,Arhar/Tur,500,100
Andhra Pradesh,SRIKAKULAM,1997,Kharif     ,Arhar/Tur,1600,400
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif     ,Arhar/Tur,4800,800
Andhra Pradesh,VIZIANAGARAM,1997,Kharif     ,Arhar/Tur,1600,400
Andhra Pradesh,WEST GODAVARI,1997,Kharif     ,Arhar/Tur,500,100
Assam,BARPETA,1997,Kharif     ,Arhar/Tur,292,239
Assam,BONGAIGAON,1997,Kharif     ,Arhar/Tur,168,141
Assam,CACHAR,1997,Kharif     ,Arhar/Tur,130,92
Assam,DARRANG,1997,Kharif     ,Arhar/Tur,442,257
Assam,DHEMAJI,1997,Kharif     ,Arhar/Tur,45,34
Assam,DHUBRI,1997,Kharif     ,Arhar/Tur,185,133
Assam,DIBRUGARH,1997,Kharif     ,Arhar/Tur,57,43
Assam,DIMA HASAO,1997,Kharif     ,Arhar/Tur,251,181
Assam,GOALPARA,1997,Kharif     ,Arhar/Tur,380,322
Assam,GOLAGHAT,1997,Kharif     ,Arhar/Tur,226,154
Assam,HAILAKANDI,1997,Kharif     ,Arhar/Tur,45,32
Assam,JORHAT,1997,Kharif     ,Arhar/Tur,20,12
Assam,KAMRUP,1997,Kharif     ,Arhar/Tur,411,329
Assam,KARBI ANGLONG,1997,Kharif     ,Arhar/Tur,1004,682
Assam,KARIMGANJ,1997,Kharif     ,Arhar/Tur,58,40
Assam,KOKRAJHAR,1997,Kharif     ,Arhar/Tur,227,148
Assam,LAKHIMPUR,1997,Kharif     ,Arhar/Tur,72,50
Assam,MARIGAON,1997,Kharif     ,Arhar/Tur,180,120
Assam,NAGAON,1997,Kharif     ,Arhar/Tur,1646,1110
Assam,NALBARI,1997,Kharif     ,Arhar/Tur,325,195
Assam,SIVASAGAR,1997,Kharif     ,Arhar/Tur,22,13
Assam,SONITPUR,1997,Kharif     ,Arhar/Tur,291,239
Assam,TINSUKIA,1997,Kharif     ,Arhar/Tur,160,119
Bihar,ARARIA,1997,Kharif     ,Arhar/Tur,354,426
Bihar,AURANGABAD,1997,Kharif     ,Arhar/Tur,745,531
Bihar,BANKA,1997,Kharif     ,Arhar/Tur,691,495
Bihar,BEGUSARAI,1997,Kharif     ,Arhar/Tur,1395,1572
Bihar,BHAGALPUR,1997,Kharif     ,Arhar/Tur,1185,978
Bihar,BHOJPUR,1997,Kharif     ,Arhar/Tur,1323,1152
Bihar,BUXAR,1997,Kharif     ,Arhar/Tur,956,935
Bihar,DARBHANGA,1997,Kharif     ,Arhar/Tur,1017,1665
Bihar,GAYA,1997,Kharif     ,Arhar/Tur,2358,2587
Bihar,GOPALGANJ,1997,Kharif     ,Arhar/Tur,2521,3708
Bihar,JAMUI,1997,Kharif     ,Arhar/Tur,306,229
Bihar,JEHANABAD,1997,Kharif     ,Arhar/Tur,201,302
Bihar,KAIMUR (BHABUA),1997,Kharif     ,Arhar/Tur,1342,2114
Bihar,KATIHAR,1997,Kharif     ,Arhar/Tur,336,356
Bihar,KHAGARIA,1997,Kharif     ,Arhar/Tur,486,494
Bihar,KISHANGANJ,1997,Kharif     ,Arhar/Tur,71,84
Bihar,LAKHISARAI,1997,Kharif     ,Arhar/Tur,77,57
Bihar,MADHEPURA,1997,Kharif     ,Arhar/Tur,141,144
Bihar,MADHUBANI,1997,Kharif     ,Arhar/Tur,1227,1344
Bihar,MUNGER,1997,Kharif     ,Arhar/Tur,371,270
Bihar,MUZAFFARPUR,1997,Kharif     ,Arhar/Tur,2197,3058
Bihar,NALANDA,1997,Kharif     ,Arhar/Tur,359,745
Bihar,NAWADA,1997,Kharif     ,Arhar/Tur,689,679
Bihar,PASHCHIM CHAMPARAN,1997,Kharif     ,Arhar/Tur,6119,9527
Bihar,PATNA,1997,Kharif     ,Arhar/Tur,810,1136
Bihar,PURBI CHAMPARAN,1997,Kharif     ,Arhar/Tur,2581,4475
Bihar,PURNIA,1997,Kharif     ,Arhar/Tur,324,420
Bihar,ROHTAS,1997,Kharif     ,Arhar/Tur,1229,1395
Bihar,SAHARSA,1997,Kharif     ,Arhar/Tur,5,5
Bihar,SAMASTIPUR,1997,Kharif     ,Arhar/Tur,1970,1515
Bihar,SARAN,1997,Kharif     ,Arhar/Tur,2388,2983
Bihar,SHEIKHPURA,1997,Kharif     ,Arhar/Tur,85,61
Bihar,SHEOHAR,1997,Kharif     ,Arhar/Tur,362,425
Bihar,SITAMARHI,1997,Kharif     ,Arhar/Tur,980,1296
Bihar,SIWAN,1997,Kharif     ,Arhar/Tur,3791,6107
Bihar,SUPAUL,1997,Kharif     ,Arhar/Tur,50,51
Bihar,VAISHALI,1997,Kharif     ,Arhar/Tur,1418,1846
Gujarat,AHMADABAD,1997,Kharif     ,Arhar/Tur,2900,2200
Gujarat,AMRELI,1997,Kharif     ,Arhar/Tur,1100,800
Gujarat,BANAS KANTHA,1997,Kharif     ,Arhar/Tur,5100,3800
Gujarat,BHARUCH,1997,Kharif     ,Arhar/Tur,124500,64700
Gujarat,BHAVNAGAR,1997,Kharif     ,Arhar/Tur,2300,1700
Gujarat,DANG,1997,Kharif     ,Arhar/Tur,3200,2400
Gujarat,GANDHINAGAR,1997,Kharif     ,Arhar/Tur,200,200
Gujarat,JAMNAGAR,1997,Kharif     ,Arhar/Tur,6300,4700
Gujarat,JUNAGADH,1997,Kharif     ,Arhar/Tur,3100,2300
Gujarat,KACHCHH,1997,Kharif     ,Arhar/Tur,300,200
Gujarat,KHEDA,1997,Kharif     ,Arhar/Tur,14400,10400
Gujarat,MAHESANA,1997,Kharif     ,Arhar/Tur,1800,1400
Gujarat,PANCH MAHALS,1997,Kharif     ,Arhar/Tur,45900,49400
Gujarat,RAJKOT,1997,Kharif     ,Arhar/Tur,2700,2000
Gujarat,SABAR KANTHA,1997,Kharif     ,Arhar/Tur,46200,46700
Gujarat,SURAT,1997,Kharif     ,Arhar/Tur,23800,17000
Gujarat,SURENDRANAGAR,1997,Kharif     ,Arhar/Tur,200,200
Gujarat,VADODARA,1997,Kharif     ,Arhar/Tur,105400,82600
Gujarat,VALSAD,1997,Kharif     ,Arhar/Tur,6200,3500
Karnataka,BELGAUM,1997,Kharif     ,Arhar/Tur,11268,1820
Karnataka,BELLARY,1997,Kharif     ,Arhar/Tur,10477,3324
Karnataka,BENGALURU URBAN,1997,Kharif     ,Arhar/Tur,6057,4131
Karnataka,BIDAR,1997,Kharif     ,Arhar/Tur,48463,3499
Karnataka,BIJAPUR,1997,Kharif     ,Arhar/Tur,20286,2428
Karnataka,CHIKMAGALUR,1997,Kharif     ,Arhar/Tur,930,217
Karnataka,CHITRADURGA,1997,Kharif     ,Arhar/Tur,10247,4225
Karnataka,DHARWAD,1997,Kharif     ,Arhar/Tur,13160,4851
Karnataka,GULBARGA,1997,Kharif     ,Arhar/Tur,238994,60394
Karnataka,HASSAN,1997,Kharif     ,Arhar/Tur,3432,828
Karnataka,KOLAR,1997,Kharif     ,Arhar/Tur,9925,3432
Karnataka,MANDYA,1997,Kharif     ,Arhar/Tur,1806,422
Karnataka,MYSORE,1997,Kharif     ,Arhar/Tur,7509,1812
Karnataka,RAICHUR,1997,Kharif     ,Arhar/Tur,25952,3156
Karnataka,SHIMOGA,1997,Kharif     ,Arhar/Tur,1951,456
Karnataka,TUMKUR,1997,Kharif     ,Arhar/Tur,11135,3427
Karnataka,UTTAR KANNAD,1997,Kharif     ,Arhar/Tur,218,51
Madhya Pradesh,BALAGHAT,1997,Kharif     ,Arhar/Tur,3000,2700
Madhya Pradesh,BETUL,1997,Kharif     ,Arhar/Tur,16900,9300
Madhya Pradesh,BHIND,1997,Kharif     ,Arhar/Tur,9300,5700
Madhya Pradesh,BHOPAL,1997,Kharif     ,Arhar/Tur,800,500
Madhya Pradesh,CHHATARPUR,1997,Kharif     ,Arhar/Tur,11400,6100
Madhya Pradesh,CHHINDWARA,1997,Kharif     ,Arhar/Tur,23600,25000
Madhya Pradesh,DAMOH,1997,Kharif     ,Arhar/Tur,2800,1700
Madhya Pradesh,DATIA,1997,Kharif     ,Arhar/Tur,4400,2700
Madhya Pradesh,DEWAS,1997,Kharif     ,Arhar/Tur,10100,5200
Madhya Pradesh,DHAR,1997,Kharif     ,Arhar/Tur,5200,3000
Madhya Pradesh,GUNA,1997,Kharif     ,Arhar/Tur,1300,800
Madhya Pradesh,GWALIOR,1997,Kharif     ,Arhar/Tur,4600,3300
Madhya Pradesh,HOSHANGABAD,1997,Kharif     ,Arhar/Tur,16100,19000
Madhya Pradesh,INDORE,1997,Kharif     ,Arhar/Tur,800,500
Madhya Pradesh,JABALPUR,1997,Kharif     ,Arhar/Tur,8800,8100
Madhya Pradesh,JHABUA,1997,Kharif     ,Arhar/Tur,4400,2600
Madhya Pradesh,KHANDWA,1997,Kharif     ,Arhar/Tur,15300,12800
