Commodity,PADDY,JOWAR,BAJRA,MAIZE,RAGI,ARHAR(Tur),MOONG,URAD,COTTON,GROUNDNUT IN SHELL,SUNFLOWER SEED,SOYABEEN,SESAMUM,NIGERSEED,WHEAT,BARLEY,GRAM,MASUR (LENTIL),RAPESEED/MUSTARD,SAFFLOWER,TORIA,COPRA,(Calender Year),JUTE,SUGARCANE@,TOBACCO(VFC),(Rs. per kg.)
2000-01,510,445,445,445,445,1200,1200,1200,1625,1220,1170,775,1300,1025,610,500,1100,1200,1200,1200,1165,3250,3500,785,59.5,26,28
2001-02,530,485,485,485,485,1320,1320,1320,1675,1340,1185,795,1400,1100,620,500,1200,1300,1300,1300,1265,3300,3550,810,62.05,27,29
2002-03,550,490,495,490,490,1325,1335,1335,1695,1375,1210,805,1455,1120,630,505,1225,1325,1340,1305,1305,3300,3550,850,69.5,28,30
2003-04,550,505,505,505,505,1360,1370,1370,1725,1400,1250,840,1485,1155,630,525,1400,1500,1600,1500,1565,3320,3570,860,73,31,33
2004-05,560,515,515,525,515,1390,1410,1410,1760,1500,1340,900,1500,1180,640,540,1425,1525,1700,1550,1665,3500,3750,890,74.5,32,34
2005-06,570,525,525,540,525,1400,1520,1520,1760,1520,1500,900,1550,1200,650,550,1435,1535,1715,1585,1680,3570,3820,910,79.5,32,34
2006-07,580,540,555,540,540,540,1410,1520,1770,1520,1500,900,1560,1220,750,565,1445,1545,1715,1565,1680,3590,3840,1000,80.25,32,34
2007-08,850,840,860,840,840,915,2000,2520,2520,,,,,,1080,680,1730,1870,1830,1650,1735,3660,3910,1250,81.18,,
2008-09,850,840,840,840,915,2000,2520,2520,2550,2100,2215,1350,2750,2405,1080,680,1730,1870,1830,1650,1735,3660,3910,1250,81.18,,
2009-10,950,840,860,840,915,2300,2760,2520,2500,2100,2215,1350,2850,2405,1100,750,1760,1870,1830,1680,1735,4450,4700,1375,129.84,,
2010-11,1000,,880,880,965,3000,3170,2900,2500,2300,2350,1400,2900,2450,1120,780,2100,2250,1850,1800,1780,4450,4700,1575,139,,
2011-12,1080,,980,980,1050,3200,3500,3300,2800,2700,2800,1650,3400,2900,1285,980,2800,2800,2500,2500,2425,4525,4775,1675,145,,
2012-13,1250,,1175,1175,1500,3850,4400,4300,3600,3700,3700,2200,4200,3500,1350,980,3000,2900,3000,2800,2970,5100,5350,2200,170,,
2013-14,1310,,1250,1310,1500,4300,4500,4300,3700,4000,3700,2500,4500,3500,1400,1100,3100,2950,3050,3000,3020,5250,5500,2300,210,,
2014-15,1360,,1250,1310,1550,4350,4600,4350,3750,4000,3750,2500,4600,3600,1450,1150,3175,3075,3100,3050,3020,5250,5500,2400,220,,
2015-16,1410,,1275,1325,1650,4625,4850,4625,3800,4030,3800,,4700,3650,1525,1225,3500,3400,3350,3300,3290,5550,5830,2700,230,,
2016-17,1470,,1330,1365,1725,5050,5225,5000,3860,4220,3950,,5000,3825,1625,1325,4000,3950,3700,3700,3560,5950,6240,3200,230,,
2017-18,1550,,1425,1425,1900,5450,5575,5400,4020,4450,4100,3050,5300,4050,1735,1410,4400,4250,4000,4100,3900,6500,5225,3500,255,,
2018-19,1750,,1950,1700,2897,5675,6975,5600,5150,4890,5388,3399,6249,5877,1840,1440,4620,4475,4200,4945,4190,7511,7750,3700,275,,
